content,question,answer
"Veterans Find Unexpected Opportunities at AMS  When it comes time to transition from service in the military to a civilian job, many veterans do not immediately think to look for positions at the USDA.  There is an assumption that jobs with USDA are all farm-related – even those in the Agricultural Marketing Services (AMS).   In reality, there is a wide variety of opportunities within AMS and USDA as a whole. There are a number of jobs at AMS that overlap with different military specializations.  The agency has auditors who evaluate programs to make sure producers follow international standards and practices.  Positions in compliance and analysis, budget analysis, and information technology rely on skills like attention to detail and effective project management that are an essential part of armed services training.  Dave Trykowski, AMS Compliance, Safety and Security Division Director  Posted in  USDA Results  Aug 09,   Respond to this story",What military specializations have corresponding job opportunities at the USDA's Agricultural Marketing Services (AMS) agency?,"Compliance and analysis, budget analysis, and information technology jobs in AMS correspond with skills from various military specializations."
"Youth Loans - Farm Loan Program USDA’s Farm Service Agency (FSA) makes loans to individual young persons to start and operate income-producing projects of modest size in connection with their participation in 4-H clubs, FFA, a Tribal youth group, or similar agricultural youth organization. The project being financed with an FSA Youth Loan needs to provide an opportunity for the young person to acquire experience and education in agriculture-related skills. Learn more ›",What type of loan program does USDA's Farm Service Agency (FSA) offer specifically to help young persons finance agricultural-related projects that provide opportunities to gain experience and education?,The USDA's Farm Service Agency (FSA) offers a Youth Loan Program.
"NIFA-Funded Research Aims to Keep Bees on the Job  Bee populations in North America have been in decline since the s. This is of great concern to the agriculture industry because about 75 percent of specialty crops depend on the services of pollinators – of which bees are the most economically important.  Mary Purcell-Miramontes and Scott Elliott, National Institute of Food and Agriculture  Posted in  Research and Science  Jul 17,   8 Responses",What percentage of specialty crops depend on pollinators for their services?,75% of specialty crops depend on pollinators.
"Create a New Market for Cotton? No Sweat.  As more and more Americans are working to become fit and healthy, one of the top athletic clothing companies – Under Armour – has been building a team to help improve its use of natural fibers.  Relying on cutting edge research to provide products that wick away moisture, Under Armour products traditionally were not made of the classic sporting apparel material - cotton.  However, since early , one of the company’s most popular items has been Charged Cotton™, a line of clothing that uses cotton -- the fabric of our lives.  Shethir Riva, AMS Cotton and Tobacco Programs Research and Promotion Branch Chief  Posted in  Research and Science  Mar 14,   3 Responses",What innovative products by Under Armour have incorporated cotton as a primary material to meet growing demand for fit and healthy athletic clothing?,Under Armour's Charged Cotton line of clothing.
"New Web-Based Tool Helps Land Managers Plan for Forests' Future  This post is part of the Science Tuesday feature series on the USDA blog. Check back each week as we showcase stories and news from the USDA’s rich science and research portfolio. From South Carolina’s coastal plain to the North Carolina mountains to the tropics of Puerto Rico to the southern Sierra Nevada region of California, climate change is on the minds of forest planners. That’s because U.S. Forest Service planning teams in these areas are among the first to revise their land and resource management plans under the Planning Rule. To help them in their planning, land managers from the Francis Marion, Nantahala, Pisgah, El Yunque, Inyo, Sequoia, and Sierra national forests will turn to a web-based tool known as the Template for Assessing Climate Change Impacts and Management Options. Forest Plans help guide the management of national forests and are typically revised every 10 to 15 years. The plans help ensure that national forests and grasslands continue to meet the requirements of the National Forest Management Act—for clean air and water, timber and other forest products, wildlife habitat, recreation and more.  Stephanie Worley Firley, Eastern Forest Environmental Threat Assessment Center, U.S. Forest Service  Posted in  Forestry  Research and Science  Jun 17,   Respond to this story",What is the purpose of the Template for Assessing Climate Change Impacts and Management Options web-based tool developed by USFS land managers?,The purpose of the Template for Assessing Climate Change Impacts and Management Options web-based tool is to help U.S. Forest Service land managers plan for the future impacts of climate change on national forests.
"The USDA TARGET Center provides ergo assessments to USDA employees nationwide. This service is provided in-person for local Washington, D.C. area employees. Employees in all other USDA locations are eligible for distance ergo assessments. Typical Ergo Evaluation During a typical ergo evaluation, a TARGET staff member will:  Evaluate the individual’s current workstation setup.  Recommend adjustments to better fit the workstation to the individual.  Suggest possible alternative solutions for the keyboard, mouse, or chair.  Set up an evaluation loan of ergonomic equipment, if necessary.  Provide vendor information for solutions recommended by TARGET.  Prepare a written report of our findings. Am I in TARGET’s Local Area? Distance Ergo Evaluations",What types of ergonomic assessments are provided by the USDA TARGET Center and what services can employees expect during a typical ergo evaluation?,"1. In-person ergo assessment for local Washington, D.C. area employees. 2. Distance ergo assessment for employees in other locations. During a typical ergo evaluation, employees can expect: * Evaluation of their current workstation setup * Recommendations for adjustments and alternative solutions * Loan of ergonomic equipment if necessary * Written report of findings"
"USDA Public Information Officer in  Rural  Feb 06,  A houseboat manufacturer in Kentucky builds a prototype energy-efficient single family home with support from the University of Kentucky, USDA Rural Development and other partners. A ribbon cutting was held last month, for the first prototype from the University of Kentucky’s (UK) Houseboat to Energy Efficient Residences (HBEER) initiative in an established residential area near downtown Monticello, Kentucky. The HBEER initiative has created green jobs and is bringing back 575 skilled workers and 1,000 related jobs that were lost in the houseboat manufacturing and marine industries due to the economy. HBEER is a partnership between the UK College of Design, the Center for Applied Energy Research at UK, the Kentucky Highlands Investment Corporation (KHIC) and the Kentucky Housing Corporation (KHC). HBEER has received financing from the U.S. Department of Energy through the Kentucky Department of Local Government and the Kentucky Energy and Environment Cabinet, the U.S. Department of Agriculture, the Appalachian Regional Commission, U.S. Department of Housing and Urban Development, the U.S. Commerce Department’s Economic Development Administration, Rural Local Initiatives Support Corporation and UK. USDA Rural Development has worked with KHIC throughout the project, awarding the company a Rural Business Enterprise Grant which was used to establish a revolving loan fund. That fund was used to supply some of the working capital used by Stardust to build the prototype. KHIC also is working with Rural Development’s Single Family Housing Program to assist potential homeowners obtain financing for HBEER properties. The completed prototype sits on a city lot. The firm is also considering building multi-family units and portable school classrooms. The multi-year project was initiated in the fall of and directly responds to the impact the current economic downturn has had on the houseboat manufacturing industry in Kentucky. More than 50 students and faculty at the college’s School of Architecture were responsible for researching and developing initial models of energy-efficient, affordable housing that could be produced by the region’s houseboat manufacturers. Highlights of the HBEER project include: Estimated energy costs at current rates are expected to be about $1.65 per day, which is one-half to one-sixth of energy bills for other housing alternatives. More than 80 percent of the home value is derived from products made in Kentucky and Kentucky labor, which further increases the jobs created or saved. When the partnership began in , Stardust Cruisers had 12 full-time employees and 12 contract workers. It now has 56 full-time employees, including six who are dedicated to the HBEER project. As a result of this project, Stardust also has improved the energy efficiency of its houseboats and is one of the few houseboat manufacturers exporting new products. The completed prototype sits on a city lot. The firm is also considering building multi-family units and portable school classrooms. The next phase of the HBEER project will include a prototype for multifamily housing as well as classroom space for schools that will serve as an energy efficient and more durable alternative to portable classrooms. USDA provides low interest home loans to credit-worthy, income-eligible rural residents.  To find out more, contact any USDA Rural Development office or click here.   Category/Topic:  Rural  Tags:  Department of Commerce  HUD  Kentucky  Rural Business Enterprise Grant  Rural Development  Single Family Housing Program  University of Kentucky","**What innovative approach is being taken by a houseboat manufacturer in Kentucky to revitalize the industry and create jobs, while also addressing the need for affordable and energy-efficient housing?**","A houseboat manufacturer in Kentucky is taking an innovative approach to revitalize the industry and create jobs by repurposing its manufacturing skills to build energy-efficient single-family homes and other structures, such as multifamily units and portable school classrooms. This initiative, called HBEER, aims to address the need for affordable and energy-efficient housing while also creating jobs and stimulating economic growth in the region."
"Creating New Opportunities for the Sheep Industry  Since they were brought over during the earliest explorations of North America, the sheep industry has played a vital role in the agricultural history of our nation.  In the s, there were over 55 million sheep in the U.S., but today those numbers hover around one-tenth of that total.  There are about 80,000 sheep ranchers across the U.S., and, with support from the Farm Bill, they will have additional resources to help develop innovative approaches to address their long-term needs. Consolidation of the U.S. sheep packing industry, higher feed and energy costs, loss of animals to predators and lower lamb consumption, along with competition from imported of lamb cuts, have taken their toll on U.S. sheep producers.  In response to industry needs, USDA is committed to working with our stakeholders to ensure the long-term viability of the sheep industry.  Edward Avalos, Under Secretary for Marketing and Regulatory Programs  Posted in  Conservation  Oct 07,   1 Response",What are some challenges facing U.S. sheep producers in terms of their long-term viability?,"Consolidation of the U.S. sheep packing industry, higher feed and energy costs, loss of animals to predators, lower lamb consumption, and competition from imported lamb cuts."
"Deck the Halls with Holiday   From the smell of fresh pine, to the vibrant of poinsettias, the holiday season is the perfect time of year to spotlight America’s horticulture growers through the just released Census of Horticultural Specialties report. I’ve experienced firsthand how unique and amazing this industry is by working nationwide with producers and stakeholders as USDA’s National Agricultural Statistics (NASS) nursery and floriculture commodity specialist. For example, did you know farmers can invest more than 8 years growing a Christmas tree for harvest? While there are not many producers dedicated to this work, according to our latest report industry sales grew. In , there were 3,ates. That year there were a total of 20 million cut Christmas trees sold, valued at $367 million in sales. This was a significant increase from the last report in , when only 13 million trees were cut and sold for a total of $250 million.  Daphne Schauber, NASS Agricultural Statistician  Posted in  Conservation  Dec 17,   2 Responses",What was the significant increase in Christmas tree sales from the report in 2007 compared to the previous report?,"There was a 23% increase in Christmas tree sales, from $250 million in 2007 to $367 million."
"PhD, International Affairs Advisor, Office of the Chief Scientist, USDA in  Research and Science  Mar 30,  Ninth G20 Meeting of the Agricultural Chief Scientists in Al-Khobar, Saudi Arabia. Photo courtesy of G20 host Saudi Arabia As the new decade unfolds, a remarkable trend is evident in the world. In , the global community and the media have been focused on the surge of a novel virus, the spread of African swine fever, wildfires, outbreak of desert locust, and debates on the safe use of agricultural technology. These challenges have similar characteristics – they span borders, have significant economic outcomes, and require global scientific collaboration to effectively address them. Public policy makers look to researchers to advance critical knowledge and offer solutions, and this research requires international collaboration. For success, however, efforts must be grounded in foundational principles and values that support international science. Core research values include openness, transparency, reciprocity, and merit-based competition. Openness and transparency are critical because they support reproducibility of results, promote accurate interpretation of findings, and help ensure appropriate disclosure of conflicts of commitment or interest (which is vital for fairly awarding research investments). Reciprocity ensures all parties mutually benefit from contributing to the research, meaning the contribution of each party needs to be proportionally aligned with what they receive, as perceived by each collaborator. Merit-based competition provides support to the best ideas. Together, these values provide the pillars for engagement. Yet, in a dynamic global research landscape with changing actors, shifting influence, and novel ways of working, we can’t take these values for granted. Foundational values need to be actively supported and promoted by all sectors, including agriculture. In February, USDA had the opportunity to promote these core research values during the G20 Meeting of the Agricultural Chief Scientists (G20 MACS) in Saudi Arabia. USDA’s delegation, led by the Office of the Chief Scientist and the Mission Area for Research, Education, and Economics, worked with counterparts to capture the roles of openness, transparency, and reciprocity in the G20 MACS communique. The values were also discussed in the plenary and during informal engagement. In addition to the G20 MACS, USDA looks forward to advancing the conversation on core research values and principles through our strong network of international collaborations.  Category/Topic:  Research and Science  Tags:  Office of the Chief Scientist  OCS  USDA Science","What role can foundational research values such as openness, transparency, reciprocity, and merit-based competition play in advancing knowledge and solutions for global agricultural challenges?","These core research values provide the pillars for international science engagement, supporting reproducibility of results, promoting accurate interpretation of findings, ensuring proper disclosure of conflicts of interest, facilitating mutual benefit through proportional contributions, and providing a fair and competitive environment for ideas. By actively promoting these values, all sectors, including agriculture, can help ensure success in addressing global agricultural challenges."
